"id","year","short_citation","stable_id","cluster","review_depth","main_evidence","central_limit","evidence_grade","disposition","protocol_consequence"
"PF013","2022","Nakauchi and Tamura; Colour statistics and composition preferences in art paintings","10.1038/s41598-022-18847-9","color_perception","full_text","Relates preference judgments from 31353 participants viewing original and hue-rotated versions of 1200 paintings to image color statistics and tests a matching-to-nature account","Aesthetic preference is not painterly manner; web-presented stimuli and regressions over image statistics do not establish capture stability or painter specificity","B","secondary_candidate","Use original-versus-hue-rotation preference only as human color-organization evidence and keep it separate from reproduction invariance and painter-feature claims"
"PF014","2007","Graham and Field; Statistical regularities of art-image spectra","10.1163/156856807782753877","spatial_structure","full_text","Compares spatial-frequency statistics of artworks and natural scenes","Spectrum depends on crop borders resolution and luminance mapping","B","core_candidate","Retain octave-band power slope fit diagnostics and anisotropy"
"PF015","2008","Graham and Field; Variations in intensity statistics for art","10.1068/p5971","spatial_structure","methods_and_results","Studies intensity-distribution regularities and departures in artworks","Convenience corpus and surrogate preprocessing limit population claims","C","secondary_candidate","Use as rationale for explicit luminance-distribution controls"
"PF016","2004","Lyu Rockmore and Farid; Digital analysis of artistic images","10.1073/pnas.0406398101","wavelet_stylometry","full_text","Uses multiscale wavelet statistics for digital art authentication-style discrimination","Tiny corpus and attribution framing do not validate general painter distributions","C","secondary_candidate","Retain fixed wavelet-energy coordinates and reject authentication language"
"PF017","2010","Hughes Graham and Rockmore; Sparse coding analysis of Bruegel drawings","10.1073/pnas.0910530107","sparse_coding","full_text","Learns overcomplete sparse bases from authentic Bruegel drawing patches and uses response kurtosis to discriminate secure works from imitations against wavelet and curvelet baselines","Small specialist drawing corpus patch resampling and learned bases do not establish an independent work-level painter distribution","B","secondary_candidate","If retained use as a learned sparse-coding diagnostic with frozen patch scale training split and random initialization, not as a wavelet feature"
"PF018","2008","Johnson et al.; Image processing for Van Gogh painting investigation","10.1109/MSP.2008.923513","technical_art","full_text","Combines image processing with art-historical and conservation evidence","Painter-specific case study and technical images do not generalize to catalog RGB","B","background_only","Use to define multimodal validation boundary and avoid RGB brushwork claims"
"PF019","2012","Li et al.; Rhythmic brushstroke analysis for painter identification","10.1109/TPAMI.2011.203","technical_art","full_text","Defines stroke-scale image descriptors and painter classification","Digitization and content matching are limited; classifier signal is not authorship proof","B","secondary_candidate","Use as candidate local-orientation evidence with source and scale gates"
"PF020","2014","Lamberti Sanna and Paravati; Unsupervised extraction of visible brushstrokes from van Gogh works","10.1186/1687-5281-2014-53","visible_stroke_extraction","full_text","Uses iterative grayscale region growing and shape constraints to extract brushstroke orientation length and width from normalized van Gogh patches and compares results with human and prior-algorithm judgments","Single-painter patch data parameter calibration and resolution normalization limit transfer; extracted image regions are not literal physical strokes without scale evidence","C","secondary_candidate","Retain only as a visible-region extraction candidate under physical-scale resolution and human-annotation gates; do not describe it as wavelet analysis"
"PF021","2013","Abry et al.; Wavelet leaders and multifractal analysis","10.1016/j.sigpro.2012.01.016","multifractal","full_text","Provides rigorous multiscale and multifractal estimation methodology","Requires adequate scaling ranges and is not art-specific construct evidence","B","secondary_candidate","Keep multifractal estimates secondary with fit-range diagnostics"
"PF022","2014","Wu et al.; Painting analysis using wavelets and probabilistic topic models","arXiv:1401.6638","wavelet_stylometry","full_text","Combines dual-tree complex wavelets hidden Markov trees and a topic model on Giotto altarpiece panels","Single case corpus and patch-derived observations do not establish painter-level generality","C","secondary_candidate","Retain wavelet-topic structure as case evidence and require source-disjoint physical-work validation"
"PF023","2013","Qi Taeb and Hughes; Visual stylometry using multiscale statistics","10.1016/j.sigpro.2012.09.025","wavelet_stylometry","methods_and_results","Defines stylometric features for art-image classification","Classification and small corpus do not prove invariant painter practice","C","secondary_candidate","Require held physical works and hard-neighbor transfer"
"PF024","2021","Ji et al.; Identifying the painter's hand through surface topography","10.1186/s40494-021-00618-w","technical_art","full_text","Uses controlled optical surface topography to distinguish painter-associated handling","Small controlled experiment and specialized height data do not transfer to ordinary RGB","B","background_only","Use as a comparator for literal painter-hand evidence and keep RGB claims at image-structure level"
"PF025","2023","Bigerelle et al.; Surface texture analysis of paintings","10.1088/2051-672X/acbe53","technical_art","full_text","Measures physical surface texture with metrological methods","Requires surface or topographic acquisition absent from catalog RGB","B","reject","Do not infer impasto or surface topography from ordinary image texture"
"PF026","2010","Koch Denzler and Redies; Fourier power characteristics and isotropy in visual art","10.1371/journal.pone.0012268","spatial_structure","full_text","Measures windowed two-dimensional Fourier power-spectrum slope and orientation anisotropy across artworks cartoons comics manga and photograph categories","Large group overlap and category/content effects remain; the authors state that near-1/f-squared spectra and low anisotropy are neither necessary nor sufficient for aesthetic quality","B","secondary_candidate","Retain Fourier slope curvature band-power and anisotropy profiles with window scale content and source controls"
"PF027","2013","Braun et al.; PHOG properties of advertisements artworks and architecture","10.3389/fpsyg.2013.00808","spatial_structure","full_text","Compares PHOG-derived gradient complexity self-similarity and anisotropy across print advertisements visual artworks and architectural images","Category-level results depend on standardized image size PHOG pyramid depth content and source and do not isolate painter","B","core_candidate","Retain transparent multiscale gradient profiles with fixed pyramid settings and require content source and reproduction tests"
"PF028","2017","Redies et al.; Edge orientation in visual art","10.1016/j.visres.2017.02.004","spatial_structure","full_text","Defines edge-orientation organization and compares artworks with other images","Composition and subject can drive orientation structure","B","core_candidate","Use threshold curves and content-matched leave-out validation"
"PF029","2017","Redies and Brachmann; Statistical image properties in traditional bad and abstract art","10.3389/fnins.2017.00593","spatial_structure","full_text","Evaluates PHOG-like self-similarity and complexity measures","Image categories and framing remain competing explanations","B","secondary_candidate","Use multiscale self-similarity as a secondary coordinate"
"PF030","2013","Redies and Gross; Frames and statistical image properties in museums","10.3389/fpsyg.2013.00831","spatial_structure","full_text","Finds frame-associated changes in PHOG complexity self-similarity and anisotropy and no significant aggregate reproduction-group differences for 27 and 31 matched paintings after standardizing to 100000 pixels","Null group tests are not equivalence or work-level repeatability estimates; technical ancestry was unavailable and standardization was chosen partly to suppress scan halftone structure","B","diagnostic_only","Include frame and crop perturbations and run paired same-work equivalence and repeatability tests for every feature instead of inferring reproduction invariance"
"PF031","2011","Fuchs et al.; Saliency and composition in paintings","10.1007/s12559-010-9062-3","composition","methods_and_results","Uses computational saliency to analyze pictorial composition","Saliency model and subject content are intertwined","C","secondary_candidate","Keep saliency separate and validate against content-matched human tasks"
"PF032","2020","Le Meur et al.; Visual attention and paintings","10.1371/journal.pone.0239980","composition","full_text","Compares saliency or gaze behavior in artworks","Observer task and content dominate transfer to painter identity","B","secondary_candidate","Use as human-composition evidence not a painter ground truth"
"PF033","2014","Amirshahi et al.; Rule of thirds in visual art","10.1163/22134913-00002024","composition","full_text","Empirically evaluates rule-of-thirds claims using image statistics","Weak or context-dependent regularity; crop and subject matter matter","B","background_only","Reject universal composition rule and retain transparent spatial coordinates"
"PF034","2011","McManus et al.; Visual balance in art","10.1068/i0445aap","composition","full_text","Tests computational and human measures of balance","Balance is task and stimulus dependent","B","secondary_candidate","Use balance only with explicit human criterion task"
"PF035","2020","Mather; Visual image statistics and aesthetic composition","10.3390/vision4010010","composition","full_text","Synthesizes and tests image-statistical composition hypotheses","Not painter-specific and partly theoretical","C","background_only","Use to define candidate coordinates and claim limits"
"PF036","2024","Swartz et al.; Image statistics and art perception","10.1038/s41598-024-69689-6","composition","full_text","Recent behavioral link between image statistics and art judgments","Observer and stimulus sample limit universality","B","secondary_candidate","Require held-work human predictive validation"
"PF037","1999","Taylor Micolich and Jonas; Fractal analysis of Pollock","10.1038/20833","fractal","full_text","Introduces fractal analysis of Pollock drip paintings","Authentication and scaling claims are sensitive to method and image domain","C","background_only","Do not treat fractal dimension as quality or authenticity"
"PF038","2007","Taylor et al.; Fractal analysis for Pollock discrimination","10.1016/j.patrec.2006.08.012","fractal","full_text","Extends box-counting or fractal discrimination claims","Method has contested specificity and scaling ranges","C","diagnostic_only","Use only as falsification example with preregistered fit ranges"
"PF039","2006","Jones-Smith and Mathur; Fractal analysis critique","10.1038/nature05398","fractal","full_text","Shows that simple drawings can satisfy proposed Pollock fractal criteria","Directly falsifies uniqueness of a scalar fractal signature","B","reject","Prohibit fractal-authenticity inference"
"PF040","2005","Mureika et al.; Multifractal structure in Pollock paintings","10.1103/PhysRevE.72.046101","fractal","methods_and_results","Explores multifractal properties of drip paintings","Scaling and corpus specificity remain contested","C","diagnostic_only","Keep multifractal estimates exploratory only"
"PF041","2016","Montagner et al.; Statistics of colors in paintings and natural scenes","10.1364/JOSAA.33.00A170","hyperspectral_color","full_text","Compares CIELAB gamut geometry and color-occurrence power laws in hyperspectral data from 44 abstract or figurative paintings and 50 natural scenes","Small mixed painting set and hyperspectral acquisition do not establish painter specificity or recoverability from ordinary museum RGB","B","background_only","Use as a hyperspectral modality boundary and a hypothesis source for RGB-specific gamut and color-frequency coordinates, not as surface-feature evidence"
"LR001","2026","Kim Lee You and Yun; Context-aware multimodal AI and art evolution","10.1073/pnas.2517969123","learned_representation","full_text_and_code","Defines 16384D SD2 VAE A-vectors and 1024D CLIP C-vectors for 72447 paintings","Forced-square stochastic A path incomplete code mixed preprocessing source bias and pretraining overlap","C","diagnostic_only","Replicate by exact name only; never use A or C alone as the painter feature"
"LR002","2017","Mao Cheung and She; DeepArt and ART500K","10.1145/3123266.3123405","art_dataset","full_text","Introduces ART500K and joint content-style representation learning","Aggregated provenance duplicates labels and joint supervision confound form and context","C","background_only","Audit work identity source and label provenance before corpus reuse"
"LR003","2016","Gatys Ecker and Bethge; Neural style transfer","10.1109/CVPR.2016.265","learned_representation","full_text","Uses VGG feature correlations as exemplar texture-style statistics","Stationary Gram correlations discard layout and lack painter-distribution validation","C","diagnostic_only","Use only as a formal-texture baseline"
"LR004","2017","Li et al.; Demystifying neural style transfer","10.24963/ijcai.2017/310","learned_representation","full_text","Shows Gram matching is an MMD with a second-order polynomial kernel","Mathematical equivalence does not establish painter construct validity","B","background_only","Name the encoder and kernel explicitly"
"LR005","2014","Karayev et al.; Recognizing image style","10.5244/C.28.122","learned_representation","full_text","Shows object-trained deep features predict photographic and painting style labels","Content and scene cues can drive style classification","B","diagnostic_only","Treat classification as shortcut-sensitive signal not construct proof"
"LR006","2016","Saleh and Elgammal; Large-scale fine-art classification","10.11588/dah.2016.2.23376","art_dataset","full_text","Learns artist genre and style classification or retrieval on fine art","WikiArt content chronology and acquisition are entangled","C","diagnostic_only","Use as attribution baseline under work and source-disjoint splits"
"LR007","2018","Elgammal et al.; Shape of art history in the eyes of the machine","10.1609/aaai.v32i1.11894","learned_representation","full_text","Uses CNN style classification and temporal manifolds over about 67000 paintings","Latent historical axes may encode subject chronology and source","C","background_only","Use for hypotheses not calibrated measurement"
"LR008","2018","Cetinic Lipic and Grgic; Fine-tuning CNNs for fine-art classification","10.1016/j.eswa.2018.07.026","learned_representation","full_text","Compares object scene and sentiment initialization across art tasks","Upstream pretraining changes what the representation measures","B","diagnostic_only","Report evaluator-family sensitivity"
"LR009","2018","Strezoski and Worring; OmniArt benchmark","10.1145/3273022","art_dataset","full_text","Aggregates over two million art records and many metadata tasks","Source imbalance duplicates and ontology conflicts","B","secondary_candidate","Use only after work-level deduplication and provenance audit"
"LR010","2018","Garcia and Vogiatzis; SemArt multimodal retrieval","CVF:ECCVW2018-W13-Garcia","art_dataset","full_text","Pairs WGA paintings with catalogue descriptions for semantic retrieval","Text can reveal painter date subject and context directly","B","diagnostic_only","Keep contextual validation separate from formal painter coordinates"
"LR011","2020","Gairola Shah and Narayanan; Unsupervised image style embeddings","10.1109/WACV45572.2020.9093421","learned_representation","full_text","Learns compact embeddings from Gram-derived pseudo-style triplets","Supervision distills Gram assumptions rather than independently validating style","C","secondary_candidate","Test only after content and source qualification"
"LR012","2021","Ruta et al.; ALADIN fine-grained style similarity","CVF:ICCV2021-Ruta-ALADIN","learned_representation","full_text","Uses all-layer AdaIN statistics and weak style groups on BAM-FG","Modern digital-art groups leak creator content and platform domain","B","secondary_candidate","Require historical-painting and source/content transfer"
"LR013","2022","Ruta et al.; StyleBabel","10.1007/978-3-031-20074-8_13","human_annotation","full_text","Builds expert-led style taxonomy and captions for about 135000 digital artworks","Modern digital and English-language domain","B","secondary_candidate","Adapt vocabulary for separate human attribute tasks"
"LR014","2017","Dumoulin Shlens and Kudlur; Learned representation for artistic style","arXiv:1610.07629","learned_representation","full_text","Conditional normalization parameters control multiple exemplar styles","Generation control lacks independent painter-similarity validation","C","reject","Do not use generator parameters as painter measurements"
"LR015","2019","Kotovenko et al.; Content-style disentanglement","CVF:ICCV2019-Kotovenko","learned_representation","full_text","Uses triplet and fixpoint losses with painter classifiers and human tests","Ten-painter scope and deception tasks do not establish oeuvre coverage","B","secondary_candidate","Adopt content-matched patches and separate human controls"
"LR016","2024","Wu Nakashima and Garcia; GOYA","10.3390/jimaging10070156","learned_representation","full_text","Learns CLIP transforms from synthetic content-style pairs and tests WikiArt","Diffusion and CLIP priors define the separation; labels imperfect","C","diagnostic_only","Use only as evaluator-family sensitivity"
"LR017","2022","Liao et al.; ArtBench","arXiv:2206.11404","art_dataset","full_text","Provides 60000 balanced artworks in ten movement classes","Coarse movement labels and WikiArt provenance are not painter ground truth","B","background_only","Use for coarse stress tests only"
"LR018","2021","Achlioptas et al.; ArtEmis","CVF:CVPR2021-Achlioptas-ArtEmis","human_annotation","full_text","Collects about 455000 emotion explanations over about 80000 artworks","Affect and content are not painterly-form criteria","B","diagnostic_only","Use to probe contextual and affective leakage"
"LR019","2018","Mohammad and Kiritchenko; WikiArt Emotions","ACL:L18-1197","human_annotation","full_text","Collects 41985 responses on 4105 artworks across emotion categories","Crowd affect labels are population and context specific","B","diagnostic_only","Treat disagreement as part of criterion uncertainty"
"LR020","2022","Mohamed et al.; ArtELingo","10.18653/v1/2022.emnlp-main.600","human_annotation","full_text","Provides multilingual culturally diverse emotion annotations over art","Affective response varies by language and culture","B","diagnostic_only","Do not universalize web-trained contextual scores"
"LR021","2024","Somepalli et al.; Contrastive Style Descriptors","10.1007/978-3-031-72848-8_9","learned_representation","full_text_and_code","Trains CLIP backbones on 511921 caption-tagged images and evaluates artist retrieval","Artist tags supervise training; random WikiArt splits and released-weight discrepancy remain","B","secondary_candidate","Fail closed until checkpoint reconciliation and local source content coverage gates"
"LR022","2026","Frochte; Diagnosing raw CSD cosine","arXiv:2605.09030","learned_representation","full_text","Finds negative same-versus-nearest-other painter gaps and candidate-pool effects","Preprint; small curated set and inaccurate description of original CSD training","C","diagnostic_only","Prohibit raw cosine as calibrated painter fidelity"
"LR023","2025","Moayeri et al.; ArtSavant and artistic imitation","ICLR2025:63ef3235","learned_representation","full_text","Uses set-level CLIP classifiers and interpretable tags for 372 painters","Recognition may exploit content source period and pretraining exposure","B","diagnostic_only","Adopt one-versus-many set voting and abstention but reject recognizability as style proof"
"LR024","2025","Su et al.; Identifying prompted artist names","arXiv:2507.18633","generative_evaluation","full_text","Benchmarks 1.95 million generated images across 110 painters and generators","Measures prompted-name recovery with strong generator-domain dependence","C","diagnostic_only","Use as prompt-system audit not real-oeuvre fidelity"
"LR025","2025","Song Liu and Shou; DiffSim","CVF:ICCV2025-Song-DiffSim","learned_representation","full_text","Uses aligned diffusion attention features across visual similarity benchmarks","Diffusion-model coupling and mixed content/background signal","B","diagnostic_only","Use as evaluator-family sensitivity only"
"LR026","2022","Wright and Ommer; ArtFID","10.1007/978-3-031-16788-1_34","generative_evaluation","full_text","Combines LPIPS with FID in an art-trained encoder and validates method ranks with human pairs","Aggregate style-transfer rank is not painter target fit or coverage; FID needs large samples","B","diagnostic_only","Never use ArtFID alone for painter fidelity"
"LR027","2018","Zhang et al.; LPIPS","10.1109/CVPR.2018.00068","perceptual_metric","full_text","Calibrates deep feature distance on hundreds of thousands of distortion judgments","Full-reference distortion similarity is not unpaired painter style","A","diagnostic_only","Use for same-work reproduction and content-preservation controls"
"LR028","2022","Ding et al.; DISTS","10.1109/TPAMI.2020.3045810","perceptual_metric","full_text","Combines deep structure and texture statistics for image-quality assessment","Full-reference image quality domain differs from painter distribution","A","diagnostic_only","Use in reproduction perturbation qualification"
"LR029","2023","Fu et al.; DreamSim","NeurIPS2023:9f09f316","perceptual_metric","full_text","Learns from 477964 human judgments on synthetic visual-similarity triplets","Synthetic generator bias and holistic semantic sensitivity","B","diagnostic_only","Use as separate overall-appearance comparator"
"LR030","2021","Hessel et al.; CLIPScore","10.18653/v1/2021.emnlp-main.595","semantic_metric","full_text","Validates CLIP image-text alignment against caption-quality judgments","Measures semantics and prompt alignment rather than painterly form","A","diagnostic_only","Keep prompt coherence outside painter score"
"LR031","2022","Pizzi et al.; SSCD copy detection","CVF:CVPR2022-Pizzi-SSCD","memorization","full_text_and_code","Self-supervised descriptor validated for image-copy detection","Thresholds are domain-specific and copy similarity is not style","A","diagnostic_only","Use only for exact and near-copy audit with local calibration"
"LR032","2023","Somepalli et al.; Diffusion art or digital forgery","10.1109/CVPR52729.2023.00586","memorization","full_text","Searches diffusion samples for training-data replication","Search covers only a subset of the training universe and cannot estimate full prevalence","B","diagnostic_only","Separate copying from painter similarity"
"LR033","2023","Carlini et al.; Extracting training data from diffusion models","USENIXSEC2023:Carlini","memorization","full_text","Extracts more than one thousand training examples via generate-and-filter attacks","Shows possibility rather than normal artist-prompt prevalence","A","diagnostic_only","Audit extraction risk separately from fidelity"
"LR034","2023","Somepalli et al.; Understanding and mitigating copying","NeurIPS2023:9521b6e7","memorization","full_text","Shows text conditioning and caption structure affect diffusion copying","Copying behavior depends on model and prompt distribution","B","diagnostic_only","Include prompt-level memorization checks"
"LR035","2024","Wen et al.; Detecting explaining and mitigating memorization","ICLR2024:993760d9","memorization","full_text","Uses first-step text-conditioned prediction magnitude to flag memorization-prone prompts","Model-specific diagnostic not a painter feature","B","diagnostic_only","Record token-level risk separately"
"LR036","2025","Chen et al.; Local memorization via Bright Ending Attention","ICLR2025:498c7e25","memorization","full_text","Detects and localizes memorized image patches in diffusion outputs","Recent model-specific method and not a style measure","B","diagnostic_only","Audit local copied motifs and signatures"
"LR037","2023","Wang et al.; Evaluating data attribution for text-to-image models","10.1109/ICCV51070.2023.00661","memorization","full_text","Builds controlled attribution evaluation by customization","Influence by construction does not prove opaque-base training inclusion","B","diagnostic_only","Use only as attribution-method validation"
"DV001","2021","ISO 19264-1; Photography archiving systems image-quality analysis","ISO:19264-1:2021","digitization","official_standard","Specifies methods to analyze imaging-system quality for cultural heritage","Standard compliance needs capture targets and cannot be inferred for downloaded files","A","core_candidate","Use to design capture metadata and reproduction qualification"
"DV002","2023","FADGI Technical Guidelines for Digitizing Cultural Heritage Materials","FADGI:2023","digitization","official_guideline","Defines preservation-imaging performance levels and testing practices","A guideline does not calibrate legacy web derivatives","A","core_candidate","Record targets tone response resolution color and sharpening provenance"
"DV003","2025","Metamorfoze Preservation Imaging Guidelines","Metamorfoze:2025","digitization","official_guideline","Defines preservation reproduction tolerances and workflow controls","Primarily institutional capture guidance rather than painter-feature validation","A","core_candidate","Use to specify same-work independent-capture panel"
"DV004","2017","Korytkowski and Olejnik-Krugly; Precise capture of colors in cultural heritage digitization","10.1002/col.22092","digitization","full_text","Tests a controlled color-target workflow for precise cultural-heritage capture","Specific devices targets and collections limit generality","B","core_candidate","Require ICC-aware processing and report residual color error"
"DV005","2020","Olejnik-Krugly and Korytkowski; Precise color capture using custom color targets","10.1002/col.22435","digitization","full_text","Evaluates custom-target calibrated color capture","Controlled setup differs from heterogeneous online assets","B","core_candidate","Separate profiled and assumed-sRGB strata"
"DV006","2021","Kirchner et al.; Exploring the limits of color accuracy in technical photography","10.1186/s40494-021-00536-x","digitization","full_text","Empirically evaluates achievable technical-photography color accuracy and its conditions","Results depend on target workflow and material surface","B","core_candidate","Use color-error evidence to set perturbation ranges and claim limits"
"DV007","2001","Berns; Digital color reproduction and cultural heritage review","10.2352/J.ImagingSci.Technol.2001.45.4.art00002","digitization","full_text","Establishes colorimetric reproduction principles and limitations for artwork imaging","Review-level and technology-specific details require current validation","B","background_only","Supports observation model and physical-versus-digital distinction"
"DV008","1995","MacDonald et al.; Colour image reproduction for museums","10.1016/0260-4779(95)00052-6","digitization","full_text","Early empirical museum color-reproduction workflow evidence","Legacy devices and small case domain","C","background_only","Use as historical evidence that source workflow matters"
"DV009","2018","Amano Linhares and Nascimento; Color constancy of color reproductions in art paintings","10.1364/JOSAA.35.00B324","digitization","full_text","Tests perceptual color constancy for originals and reproductions rendered under controlled illuminants","Five paintings selected regions and controlled viewing do not establish colorimetric equivalence","B","secondary_candidate","Do not treat observer tolerance as proof that painter color coordinates are reproduction-stable"
"DV010","2005","Sharma Wu and Dalal; CIEDE2000 implementation notes","10.1002/col.20070","color_measurement","full_text","Provides equations and reference pairs for CIEDE2000","Perceptual color difference is not a painter construct and assumes valid color coordinates","A","core_candidate","Use verified fixtures for color-distance sensitivity branch"
"DV011","2016","Szucs and Sik-Lanyi; Color rendering of Sistine Chapel reproductions","10.1080/15502724.2014.1000495","digitization","full_text","Compares color patches in web and print reproductions with reference or in-situ measurements","Four frescoes and patch comparisons do not characterize every spatial feature","B","secondary_candidate","Record browser codec profile print and display stages as measurement provenance"
"DV012","2005","Ribes et al.; Multispectral imaging for cultural heritage","10.2352/J.ImagingSci.Technol.2005.49.6.art00004","technical_imaging","full_text","Demonstrates multispectral artwork acquisition and reconstruction","Requires modalities absent from online RGB","B","background_only","Use to define out-of-scope physical and spectral claims"
"DV013","2012","Liang; Advances in multispectral and hyperspectral imaging for archaeology and art conservation","10.1007/s00339-011-6689-1","technical_imaging","full_text","Reviews and demonstrates spectral imaging applications in heritage science","Secondary and specialized modality evidence","B","background_only","Require new protocol before spectral or underdrawing claims"
"DV014","2019","Pillay et al.; Technical imaging of cultural heritage","10.1080/01971360.2018.1549919","technical_imaging","methods_and_results","Shows calibrated technical-imaging applications to artworks","Not recoverable from ordinary RGB and case specific","B","background_only","Keep technical material evidence separate"
"HV001","2023","Zhao et al.; Perception of artistic style","10.1167/jov.23.6.2","human_validity","full_text","Behavioral experiments test how observers categorize or compare visual style","Task stimuli and observer population define the construct","B","core_candidate","Use pair or triplet tasks and report expertise or population scope"
"HV002","2025","Boger and Firestone; Human recognition of artistic style","10.1038/s41562-025-02249-8","human_validity","full_text","Large behavioral study of style recognition and generalization","Recognition can include learned attribution and content cues","B","core_candidate","Cross same-painter cross-content with content-matched cross-painter trials"
"HV003","2010","Kovashka and Lease; Human and machine detection of stylistic similarity in art","Kovashka-Lease-CrowdConf-2010","human_validity","full_text","Collects thousands of judgments over paintings and compares computational filters with people","Limited paintings and participant knowledge; repeated judgments and works are dependent","B","secondary_candidate","Use held-work triplets and crossed rater-work inference"
"HV004","1987","Hess and Wallsten; Adult age differences in perception and learning of artistic style categories","10.1037/0882-7974.2.3.243","human_validity","methods_and_results","Tests how adult age relates to learning and perceiving artistic style categories","Age and category-learning task do not provide a comparative-judgment scaling method","C","secondary_candidate","Model rater population learning and familiarity instead of assuming invariant style perception"
"HV005","2023","Bruns et al.; Deep network representation of art-style similarity judgments","10.1167/jov.23.9.5976","human_validity","abstract_only","Compares human art-style similarity judgments with deep-network representations","Conference abstract with limited method detail; does not test expertise strata","D","background_only","Use only as a lead for human-model convergence and do not infer expertise effects"
"HV006","1955","Cronbach and Meehl; Construct validity in psychological tests","10.1037/h0040957","measurement_validity","full_text","Defines construct validity as accumulated nomological evidence","Foundational theory not a direct painter-feature validation","A","core_candidate","Require multiple convergent and discriminant tests"
"HV007","1959","Campbell and Fiske; Convergent and discriminant validation","10.1037/h0046016","measurement_validity","full_text","Introduces multitrait-multimethod logic","Classical framework needs adaptation to modern crossed designs","A","core_candidate","Cross feature families and human task constructs"
