after,after_request_id,after_request_sequence,after_status,alias,before,before_request_id,before_request_sequence,before_status,block,both_measured,included,order_sequence,painter_id,template_id,weight
style_instruction,b0000-L4-claude_monet-style_instruction-gpt-image-1,27,measured,gpt-image-1,by_name,b0000-L4-claude_monet-by_name-gpt-image-1,29,measured,0,True,True,27,claude_monet,L4,0.015625
style_instruction,b0001-W1-claude_monet-style_instruction-gpt-image-1,951,measured,gpt-image-1,by_name,b0001-W1-claude_monet-by_name-gpt-image-1,953,measured,1,True,True,951,claude_monet,W1,0.015625
style_instruction,b0001-W2-claude_monet-style_instruction-gpt-image-1,940,measured,gpt-image-1,by_name,b0001-W2-claude_monet-by_name-gpt-image-1,939,measured,1,True,True,939,claude_monet,W2,0.015625
style_instruction,b0001-W3-claude_monet-style_instruction-gpt-image-1,574,measured,gpt-image-1,by_name,b0001-W3-claude_monet-by_name-gpt-image-1,575,measured,1,True,True,574,claude_monet,W3,0.015625
style_instruction,b0001-W4-claude_monet-style_instruction-gpt-image-1,783,measured,gpt-image-1,by_name,b0001-W4-claude_monet-by_name-gpt-image-1,784,measured,1,True,True,783,claude_monet,W4,0.015625
style_instruction,b0001-B1-claude_monet-style_instruction-gpt-image-1,524,measured,gpt-image-1,by_name,b0001-B1-claude_monet-by_name-gpt-image-1,523,measured,1,True,True,523,claude_monet,B1,0.015625
style_instruction,b0001-B2-claude_monet-style_instruction-gpt-image-1,513,measured,gpt-image-1,by_name,b0001-B2-claude_monet-by_name-gpt-image-1,514,measured,1,True,True,513,claude_monet,B2,0.015625
style_instruction,b0001-B3-claude_monet-style_instruction-gpt-image-1,791,measured,gpt-image-1,by_name,b0001-B3-claude_monet-by_name-gpt-image-1,789,measured,1,True,True,789,claude_monet,B3,0.015625
style_instruction,b0001-B4-claude_monet-style_instruction-gpt-image-1,914,measured,gpt-image-1,by_name,b0001-B4-claude_monet-by_name-gpt-image-1,912,measured,1,True,True,912,claude_monet,B4,0.015625
style_instruction,b0001-R1-claude_monet-style_instruction-gpt-image-1,863,measured,gpt-image-1,by_name,b0001-R1-claude_monet-by_name-gpt-image-1,862,measured,1,True,True,862,claude_monet,R1,0.015625
style_instruction,b0001-R2-claude_monet-style_instruction-gpt-image-1,667,measured,gpt-image-1,by_name,b0001-R2-claude_monet-by_name-gpt-image-1,666,measured,1,True,True,666,claude_monet,R2,0.015625
style_instruction,b0001-R3-claude_monet-style_instruction-gpt-image-1,664,measured,gpt-image-1,by_name,b0001-R3-claude_monet-by_name-gpt-image-1,663,measured,1,True,True,663,claude_monet,R3,0.015625
style_instruction,b0001-R4-claude_monet-style_instruction-gpt-image-1,876,measured,gpt-image-1,by_name,b0001-R4-claude_monet-by_name-gpt-image-1,878,measured,1,True,True,876,claude_monet,R4,0.015625
style_instruction,b0001-L1-claude_monet-style_instruction-gpt-image-1,618,measured,gpt-image-1,by_name,b0001-L1-claude_monet-by_name-gpt-image-1,619,measured,1,True,True,618,claude_monet,L1,0.015625
style_instruction,b0001-L2-claude_monet-style_instruction-gpt-image-1,678,measured,gpt-image-1,by_name,b0001-L2-claude_monet-by_name-gpt-image-1,680,measured,1,True,True,678,claude_monet,L2,0.015625
style_instruction,b0001-L3-claude_monet-style_instruction-gpt-image-1,710,measured,gpt-image-1,by_name,b0001-L3-claude_monet-by_name-gpt-image-1,708,measured,1,True,True,708,claude_monet,L3,0.015625
style_instruction,b0001-L4-claude_monet-style_instruction-gpt-image-1,698,measured,gpt-image-1,by_name,b0001-L4-claude_monet-by_name-gpt-image-1,697,measured,1,True,True,697,claude_monet,L4,0.015625
style_instruction,b0002-W1-claude_monet-style_instruction-gpt-image-1,975,measured,gpt-image-1,by_name,b0002-W1-claude_monet-by_name-gpt-image-1,977,measured,2,True,True,975,claude_monet,W1,0.015625
style_instruction,b0002-W2-claude_monet-style_instruction-gpt-image-1,1000,measured,gpt-image-1,by_name,b0002-W2-claude_monet-by_name-gpt-image-1,999,measured,2,True,True,999,claude_monet,W2,0.015625
style_instruction,b0002-W3-claude_monet-style_instruction-gpt-image-1,1006,measured,gpt-image-1,by_name,b0002-W3-claude_monet-by_name-gpt-image-1,1007,measured,2,True,True,1006,claude_monet,W3,0.015625
style_instruction,b0002-W4-claude_monet-style_instruction-gpt-image-1,1188,measured,gpt-image-1,by_name,b0002-W4-claude_monet-by_name-gpt-image-1,1189,measured,2,True,True,1188,claude_monet,W4,0.015625
style_instruction,b0002-B1-claude_monet-style_instruction-gpt-image-1,1412,measured,gpt-image-1,by_name,b0002-B1-claude_monet-by_name-gpt-image-1,1411,measured,2,True,True,1411,claude_monet,B1,0.015625
style_instruction,b0002-B2-claude_monet-style_instruction-gpt-image-1,1256,measured,gpt-image-1,by_name,b0002-B2-claude_monet-by_name-gpt-image-1,1254,measured,2,True,True,1254,claude_monet,B2,0.015625
style_instruction,b0002-B3-claude_monet-style_instruction-gpt-image-1,1372,measured,gpt-image-1,by_name,b0002-B3-claude_monet-by_name-gpt-image-1,1371,measured,2,True,True,1371,claude_monet,B3,0.015625
style_instruction,b0002-B4-claude_monet-style_instruction-gpt-image-1,1367,measured,gpt-image-1,by_name,b0002-B4-claude_monet-by_name-gpt-image-1,1366,measured,2,True,True,1366,claude_monet,B4,0.015625
style_instruction,b0002-R1-claude_monet-style_instruction-gpt-image-1,1056,measured,gpt-image-1,by_name,b0002-R1-claude_monet-by_name-gpt-image-1,1057,measured,2,True,True,1056,claude_monet,R1,0.015625
style_instruction,b0002-R2-claude_monet-style_instruction-gpt-image-1,1219,measured,gpt-image-1,by_name,b0002-R2-claude_monet-by_name-gpt-image-1,1220,measured,2,True,True,1219,claude_monet,R2,0.015625
style_instruction,b0002-R3-claude_monet-style_instruction-gpt-image-1,1354,measured,gpt-image-1,by_name,b0002-R3-claude_monet-by_name-gpt-image-1,1353,measured,2,True,True,1353,claude_monet,R3,0.015625
style_instruction,b0002-R4-claude_monet-style_instruction-gpt-image-1,1015,measured,gpt-image-1,by_name,b0002-R4-claude_monet-by_name-gpt-image-1,1014,measured,2,True,True,1014,claude_monet,R4,0.015625
style_instruction,b0002-L1-claude_monet-style_instruction-gpt-image-1,1338,measured,gpt-image-1,by_name,b0002-L1-claude_monet-by_name-gpt-image-1,1340,measured,2,True,True,1338,claude_monet,L1,0.015625
style_instruction,b0002-L2-claude_monet-style_instruction-gpt-image-1,1105,measured,gpt-image-1,by_name,b0002-L2-claude_monet-by_name-gpt-image-1,1106,measured,2,True,True,1105,claude_monet,L2,0.015625
style_instruction,b0002-L3-claude_monet-style_instruction-gpt-image-1,1039,measured,gpt-image-1,by_name,b0002-L3-claude_monet-by_name-gpt-image-1,1040,measured,2,True,True,1039,claude_monet,L3,0.015625
style_instruction,b0002-L4-claude_monet-style_instruction-gpt-image-1,1346,measured,gpt-image-1,by_name,b0002-L4-claude_monet-by_name-gpt-image-1,1344,measured,2,True,True,1344,claude_monet,L4,0.015625
style_instruction,b0003-W1-claude_monet-style_instruction-gpt-image-1,1557,measured,gpt-image-1,by_name,b0003-W1-claude_monet-by_name-gpt-image-1,1559,measured,3,True,True,1557,claude_monet,W1,0.015625
style_instruction,b0003-W2-claude_monet-style_instruction-gpt-image-1,1748,measured,gpt-image-1,by_name,b0003-W2-claude_monet-by_name-gpt-image-1,1747,measured,3,True,True,1747,claude_monet,W2,0.015625
style_instruction,b0003-W3-claude_monet-style_instruction-gpt-image-1,1758,measured,gpt-image-1,by_name,b0003-W3-claude_monet-by_name-gpt-image-1,1760,measured,3,True,True,1758,claude_monet,W3,0.015625
style_instruction,b0003-W4-claude_monet-style_instruction-gpt-image-1,1902,measured,gpt-image-1,by_name,b0003-W4-claude_monet-by_name-gpt-image-1,1903,measured,3,True,True,1902,claude_monet,W4,0.015625
style_instruction,b0003-B1-claude_monet-style_instruction-gpt-image-1,1728,measured,gpt-image-1,by_name,b0003-B1-claude_monet-by_name-gpt-image-1,1729,measured,3,True,True,1728,claude_monet,B1,0.015625
style_instruction,b0003-B2-claude_monet-style_instruction-gpt-image-1,1753,measured,gpt-image-1,by_name,b0003-B2-claude_monet-by_name-gpt-image-1,1752,measured,3,True,True,1752,claude_monet,B2,0.015625
style_instruction,b0003-B3-claude_monet-style_instruction-gpt-image-1,1463,measured,gpt-image-1,by_name,b0003-B3-claude_monet-by_name-gpt-image-1,1461,measured,3,True,True,1461,claude_monet,B3,0.015625
style_instruction,b0003-B4-claude_monet-style_instruction-gpt-image-1,1878,measured,gpt-image-1,by_name,b0003-B4-claude_monet-by_name-gpt-image-1,1879,measured,3,True,True,1878,claude_monet,B4,0.015625
style_instruction,b0003-R1-claude_monet-style_instruction-gpt-image-1,1682,measured,gpt-image-1,by_name,b0003-R1-claude_monet-by_name-gpt-image-1,1680,measured,3,True,True,1680,claude_monet,R1,0.015625
style_instruction,b0003-R2-claude_monet-style_instruction-gpt-image-1,1914,measured,gpt-image-1,by_name,b0003-R2-claude_monet-by_name-gpt-image-1,1915,measured,3,True,True,1914,claude_monet,R2,0.015625
style_instruction,b0003-R3-claude_monet-style_instruction-gpt-image-1,1871,measured,gpt-image-1,by_name,b0003-R3-claude_monet-by_name-gpt-image-1,1869,measured,3,True,True,1869,claude_monet,R3,0.015625
style_instruction,b0003-R4-claude_monet-style_instruction-gpt-image-1,1845,measured,gpt-image-1,by_name,b0003-R4-claude_monet-by_name-gpt-image-1,1847,measured,3,True,True,1845,claude_monet,R4,0.015625
style_instruction,b0003-L1-claude_monet-style_instruction-gpt-image-1,1524,measured,gpt-image-1,by_name,b0003-L1-claude_monet-by_name-gpt-image-1,1525,measured,3,True,True,1524,claude_monet,L1,0.015625
style_instruction,b0003-L2-claude_monet-style_instruction-gpt-image-1,1785,measured,gpt-image-1,by_name,b0003-L2-claude_monet-by_name-gpt-image-1,1787,measured,3,True,True,1785,claude_monet,L2,0.015625
style_instruction,b0003-L3-claude_monet-style_instruction-gpt-image-1,1689,measured,gpt-image-1,by_name,b0003-L3-claude_monet-by_name-gpt-image-1,1691,measured,3,True,True,1689,claude_monet,L3,0.015625
style_instruction,b0003-L4-claude_monet-style_instruction-gpt-image-1,1446,measured,gpt-image-1,by_name,b0003-L4-claude_monet-by_name-gpt-image-1,1448,measured,3,True,True,1446,claude_monet,L4,0.015625
style_aspects,b0000-W1-claude_monet-style_aspects-gpt-image-1,422,measured,gpt-image-1,style_instruction,b0000-W1-claude_monet-style_instruction-gpt-image-1,421,measured,0,True,True,421,claude_monet,W1,0.015625
style_aspects,b0000-W2-claude_monet-style_aspects-gpt-image-1,14,measured,gpt-image-1,style_instruction,b0000-W2-claude_monet-style_instruction-gpt-image-1,12,measured,0,True,True,12,claude_monet,W2,0.015625
style_aspects,b0000-W3-claude_monet-style_aspects-gpt-image-1,306,measured,gpt-image-1,style_instruction,b0000-W3-claude_monet-style_instruction-gpt-image-1,308,measured,0,True,True,306,claude_monet,W3,0.015625
style_aspects,b0000-W4-claude_monet-style_aspects-gpt-image-1,115,measured,gpt-image-1,style_instruction,b0000-W4-claude_monet-style_instruction-gpt-image-1,114,measured,0,True,True,114,claude_monet,W4,0.015625
style_aspects,b0000-B1-claude_monet-style_aspects-gpt-image-1,154,measured,gpt-image-1,style_instruction,b0000-B1-claude_monet-style_instruction-gpt-image-1,155,measured,0,True,True,154,claude_monet,B1,0.015625
style_aspects,b0000-B2-claude_monet-style_aspects-gpt-image-1,142,measured,gpt-image-1,style_instruction,b0000-B2-claude_monet-style_instruction-gpt-image-1,143,measured,0,True,True,142,claude_monet,B2,0.015625
style_aspects,b0000-B3-claude_monet-style_aspects-gpt-image-1,398,measured,gpt-image-1,style_instruction,b0000-B3-claude_monet-style_instruction-gpt-image-1,396,measured,0,True,True,396,claude_monet,B3,0.015625
style_aspects,b0000-B4-claude_monet-style_aspects-gpt-image-1,390,measured,gpt-image-1,style_instruction,b0000-B4-claude_monet-style_instruction-gpt-image-1,391,measured,0,True,True,390,claude_monet,B4,0.015625
style_aspects,b0000-R1-claude_monet-style_aspects-gpt-image-1,189,measured,gpt-image-1,style_instruction,b0000-R1-claude_monet-style_instruction-gpt-image-1,191,measured,0,True,True,189,claude_monet,R1,0.015625
style_aspects,b0000-R2-claude_monet-style_aspects-gpt-image-1,458,measured,gpt-image-1,style_instruction,b0000-R2-claude_monet-style_instruction-gpt-image-1,456,measured,0,True,True,456,claude_monet,R2,0.015625
style_aspects,b0000-R3-claude_monet-style_aspects-gpt-image-1,63,measured,gpt-image-1,style_instruction,b0000-R3-claude_monet-style_instruction-gpt-image-1,64,measured,0,True,True,63,claude_monet,R3,0.015625
style_aspects,b0000-R4-claude_monet-style_aspects-gpt-image-1,34,measured,gpt-image-1,style_instruction,b0000-R4-claude_monet-style_instruction-gpt-image-1,33,measured,0,True,True,33,claude_monet,R4,0.015625
style_aspects,b0000-L1-claude_monet-style_aspects-gpt-image-1,296,measured,gpt-image-1,style_instruction,b0000-L1-claude_monet-style_instruction-gpt-image-1,295,measured,0,True,True,295,claude_monet,L1,0.015625
style_aspects,b0000-L2-claude_monet-style_aspects-gpt-image-1,375,measured,gpt-image-1,style_instruction,b0000-L2-claude_monet-style_instruction-gpt-image-1,376,measured,0,True,True,375,claude_monet,L2,0.015625
style_aspects,b0000-L3-claude_monet-style_aspects-gpt-image-1,37,measured,gpt-image-1,style_instruction,b0000-L3-claude_monet-style_instruction-gpt-image-1,36,measured,0,True,True,36,claude_monet,L3,0.015625
style_aspects,b0000-L4-claude_monet-style_aspects-gpt-image-1,28,measured,gpt-image-1,style_instruction,b0000-L4-claude_monet-style_instruction-gpt-image-1,27,measured,0,True,True,27,claude_monet,L4,0.015625
style_aspects,b0001-W1-claude_monet-style_aspects-gpt-image-1,952,measured,gpt-image-1,style_instruction,b0001-W1-claude_monet-style_instruction-gpt-image-1,951,measured,1,True,True,951,claude_monet,W1,0.015625
style_aspects,b0001-W2-claude_monet-style_aspects-gpt-image-1,941,measured,gpt-image-1,style_instruction,b0001-W2-claude_monet-style_instruction-gpt-image-1,940,measured,1,True,True,940,claude_monet,W2,0.015625
style_aspects,b0001-W3-claude_monet-style_aspects-gpt-image-1,573,measured,gpt-image-1,style_instruction,b0001-W3-claude_monet-style_instruction-gpt-image-1,574,measured,1,True,True,573,claude_monet,W3,0.015625
style_aspects,b0001-W4-claude_monet-style_aspects-gpt-image-1,785,measured,gpt-image-1,style_instruction,b0001-W4-claude_monet-style_instruction-gpt-image-1,783,measured,1,True,True,783,claude_monet,W4,0.015625
style_aspects,b0001-B1-claude_monet-style_aspects-gpt-image-1,522,measured,gpt-image-1,style_instruction,b0001-B1-claude_monet-style_instruction-gpt-image-1,524,measured,1,True,True,522,claude_monet,B1,0.015625
style_aspects,b0001-B2-claude_monet-style_aspects-gpt-image-1,515,measured,gpt-image-1,style_instruction,b0001-B2-claude_monet-style_instruction-gpt-image-1,513,measured,1,True,True,513,claude_monet,B2,0.015625
style_aspects,b0001-B3-claude_monet-style_aspects-gpt-image-1,790,measured,gpt-image-1,style_instruction,b0001-B3-claude_monet-style_instruction-gpt-image-1,791,measured,1,True,True,790,claude_monet,B3,0.015625
style_aspects,b0001-B4-claude_monet-style_aspects-gpt-image-1,913,measured,gpt-image-1,style_instruction,b0001-B4-claude_monet-style_instruction-gpt-image-1,914,measured,1,True,True,913,claude_monet,B4,0.015625
style_aspects,b0001-R1-claude_monet-style_aspects-gpt-image-1,861,measured,gpt-image-1,style_instruction,b0001-R1-claude_monet-style_instruction-gpt-image-1,863,measured,1,True,True,861,claude_monet,R1,0.015625
style_aspects,b0001-R2-claude_monet-style_aspects-gpt-image-1,668,measured,gpt-image-1,style_instruction,b0001-R2-claude_monet-style_instruction-gpt-image-1,667,measured,1,True,True,667,claude_monet,R2,0.015625
style_aspects,b0001-R3-claude_monet-style_aspects-gpt-image-1,665,measured,gpt-image-1,style_instruction,b0001-R3-claude_monet-style_instruction-gpt-image-1,664,measured,1,True,True,664,claude_monet,R3,0.015625
style_aspects,b0001-R4-claude_monet-style_aspects-gpt-image-1,877,measured,gpt-image-1,style_instruction,b0001-R4-claude_monet-style_instruction-gpt-image-1,876,measured,1,True,True,876,claude_monet,R4,0.015625
style_aspects,b0001-L1-claude_monet-style_aspects-gpt-image-1,620,measured,gpt-image-1,style_instruction,b0001-L1-claude_monet-style_instruction-gpt-image-1,618,measured,1,True,True,618,claude_monet,L1,0.015625
style_aspects,b0001-L2-claude_monet-style_aspects-gpt-image-1,679,measured,gpt-image-1,style_instruction,b0001-L2-claude_monet-style_instruction-gpt-image-1,678,measured,1,True,True,678,claude_monet,L2,0.015625
style_aspects,b0001-L3-claude_monet-style_aspects-gpt-image-1,709,measured,gpt-image-1,style_instruction,b0001-L3-claude_monet-style_instruction-gpt-image-1,710,measured,1,True,True,709,claude_monet,L3,0.015625
style_aspects,b0001-L4-claude_monet-style_aspects-gpt-image-1,696,measured,gpt-image-1,style_instruction,b0001-L4-claude_monet-style_instruction-gpt-image-1,698,measured,1,True,True,696,claude_monet,L4,0.015625
style_aspects,b0002-W1-claude_monet-style_aspects-gpt-image-1,976,measured,gpt-image-1,style_instruction,b0002-W1-claude_monet-style_instruction-gpt-image-1,975,measured,2,True,True,975,claude_monet,W1,0.015625
style_aspects,b0002-W2-claude_monet-style_aspects-gpt-image-1,1001,measured,gpt-image-1,style_instruction,b0002-W2-claude_monet-style_instruction-gpt-image-1,1000,measured,2,True,True,1000,claude_monet,W2,0.015625
style_aspects,b0002-W3-claude_monet-style_aspects-gpt-image-1,1005,measured,gpt-image-1,style_instruction,b0002-W3-claude_monet-style_instruction-gpt-image-1,1006,measured,2,True,True,1005,claude_monet,W3,0.015625
style_aspects,b0002-W4-claude_monet-style_aspects-gpt-image-1,1190,measured,gpt-image-1,style_instruction,b0002-W4-claude_monet-style_instruction-gpt-image-1,1188,measured,2,True,True,1188,claude_monet,W4,0.015625
style_aspects,b0002-B1-claude_monet-style_aspects-gpt-image-1,1410,measured,gpt-image-1,style_instruction,b0002-B1-claude_monet-style_instruction-gpt-image-1,1412,measured,2,True,True,1410,claude_monet,B1,0.015625
style_aspects,b0002-B2-claude_monet-style_aspects-gpt-image-1,1255,measured,gpt-image-1,style_instruction,b0002-B2-claude_monet-style_instruction-gpt-image-1,1256,measured,2,True,True,1255,claude_monet,B2,0.015625
style_aspects,b0002-B3-claude_monet-style_aspects-gpt-image-1,1373,measured,gpt-image-1,style_instruction,b0002-B3-claude_monet-style_instruction-gpt-image-1,1372,measured,2,True,True,1372,claude_monet,B3,0.015625
style_aspects,b0002-B4-claude_monet-style_aspects-gpt-image-1,1365,measured,gpt-image-1,style_instruction,b0002-B4-claude_monet-style_instruction-gpt-image-1,1367,measured,2,True,True,1365,claude_monet,B4,0.015625
style_aspects,b0002-R1-claude_monet-style_aspects-gpt-image-1,1058,measured,gpt-image-1,style_instruction,b0002-R1-claude_monet-style_instruction-gpt-image-1,1056,measured,2,True,True,1056,claude_monet,R1,0.015625
style_aspects,b0002-R2-claude_monet-style_aspects-gpt-image-1,1218,measured,gpt-image-1,style_instruction,b0002-R2-claude_monet-style_instruction-gpt-image-1,1219,measured,2,True,True,1218,claude_monet,R2,0.015625
style_aspects,b0002-R3-claude_monet-style_aspects-gpt-image-1,1355,measured,gpt-image-1,style_instruction,b0002-R3-claude_monet-style_instruction-gpt-image-1,1354,measured,2,True,True,1354,claude_monet,R3,0.015625
style_aspects,b0002-R4-claude_monet-style_aspects-gpt-image-1,1016,measured,gpt-image-1,style_instruction,b0002-R4-claude_monet-style_instruction-gpt-image-1,1015,measured,2,True,True,1015,claude_monet,R4,0.015625
style_aspects,b0002-L1-claude_monet-style_aspects-gpt-image-1,1339,measured,gpt-image-1,style_instruction,b0002-L1-claude_monet-style_instruction-gpt-image-1,1338,measured,2,True,True,1338,claude_monet,L1,0.015625
style_aspects,b0002-L2-claude_monet-style_aspects-gpt-image-1,1104,measured,gpt-image-1,style_instruction,b0002-L2-claude_monet-style_instruction-gpt-image-1,1105,measured,2,True,True,1104,claude_monet,L2,0.015625
style_aspects,b0002-L3-claude_monet-style_aspects-gpt-image-1,1038,measured,gpt-image-1,style_instruction,b0002-L3-claude_monet-style_instruction-gpt-image-1,1039,measured,2,True,True,1038,claude_monet,L3,0.015625
style_aspects,b0002-L4-claude_monet-style_aspects-gpt-image-1,1345,measured,gpt-image-1,style_instruction,b0002-L4-claude_monet-style_instruction-gpt-image-1,1346,measured,2,True,True,1345,claude_monet,L4,0.015625
style_aspects,b0003-W1-claude_monet-style_aspects-gpt-image-1,1558,measured,gpt-image-1,style_instruction,b0003-W1-claude_monet-style_instruction-gpt-image-1,1557,measured,3,True,True,1557,claude_monet,W1,0.015625
style_aspects,b0003-W2-claude_monet-style_aspects-gpt-image-1,1746,measured,gpt-image-1,style_instruction,b0003-W2-claude_monet-style_instruction-gpt-image-1,1748,measured,3,True,True,1746,claude_monet,W2,0.015625
style_aspects,b0003-W3-claude_monet-style_aspects-gpt-image-1,1759,measured,gpt-image-1,style_instruction,b0003-W3-claude_monet-style_instruction-gpt-image-1,1758,measured,3,True,True,1758,claude_monet,W3,0.015625
style_aspects,b0003-W4-claude_monet-style_aspects-gpt-image-1,1904,measured,gpt-image-1,style_instruction,b0003-W4-claude_monet-style_instruction-gpt-image-1,1902,measured,3,True,True,1902,claude_monet,W4,0.015625
style_aspects,b0003-B1-claude_monet-style_aspects-gpt-image-1,1730,measured,gpt-image-1,style_instruction,b0003-B1-claude_monet-style_instruction-gpt-image-1,1728,measured,3,True,True,1728,claude_monet,B1,0.015625
style_aspects,b0003-B2-claude_monet-style_aspects-gpt-image-1,1754,measured,gpt-image-1,style_instruction,b0003-B2-claude_monet-style_instruction-gpt-image-1,1753,measured,3,True,True,1753,claude_monet,B2,0.015625
style_aspects,b0003-B3-claude_monet-style_aspects-gpt-image-1,1462,measured,gpt-image-1,style_instruction,b0003-B3-claude_monet-style_instruction-gpt-image-1,1463,measured,3,True,True,1462,claude_monet,B3,0.015625
style_aspects,b0003-B4-claude_monet-style_aspects-gpt-image-1,1880,measured,gpt-image-1,style_instruction,b0003-B4-claude_monet-style_instruction-gpt-image-1,1878,measured,3,True,True,1878,claude_monet,B4,0.015625
style_aspects,b0003-R1-claude_monet-style_aspects-gpt-image-1,1681,measured,gpt-image-1,style_instruction,b0003-R1-claude_monet-style_instruction-gpt-image-1,1682,measured,3,True,True,1681,claude_monet,R1,0.015625
style_aspects,b0003-R2-claude_monet-style_aspects-gpt-image-1,1916,measured,gpt-image-1,style_instruction,b0003-R2-claude_monet-style_instruction-gpt-image-1,1914,measured,3,True,True,1914,claude_monet,R2,0.015625
style_aspects,b0003-R3-claude_monet-style_aspects-gpt-image-1,1870,measured,gpt-image-1,style_instruction,b0003-R3-claude_monet-style_instruction-gpt-image-1,1871,measured,3,True,True,1870,claude_monet,R3,0.015625
style_aspects,b0003-R4-claude_monet-style_aspects-gpt-image-1,1846,measured,gpt-image-1,style_instruction,b0003-R4-claude_monet-style_instruction-gpt-image-1,1845,measured,3,True,True,1845,claude_monet,R4,0.015625
style_aspects,b0003-L1-claude_monet-style_aspects-gpt-image-1,1526,measured,gpt-image-1,style_instruction,b0003-L1-claude_monet-style_instruction-gpt-image-1,1524,measured,3,True,True,1524,claude_monet,L1,0.015625
style_aspects,b0003-L2-claude_monet-style_aspects-gpt-image-1,1786,measured,gpt-image-1,style_instruction,b0003-L2-claude_monet-style_instruction-gpt-image-1,1785,measured,3,True,True,1785,claude_monet,L2,0.015625
style_aspects,b0003-L3-claude_monet-style_aspects-gpt-image-1,1690,measured,gpt-image-1,style_instruction,b0003-L3-claude_monet-style_instruction-gpt-image-1,1689,measured,3,True,True,1689,claude_monet,L3,0.015625
style_aspects,b0003-L4-claude_monet-style_aspects-gpt-image-1,1447,measured,gpt-image-1,style_instruction,b0003-L4-claude_monet-style_instruction-gpt-image-1,1446,measured,3,True,True,1446,claude_monet,L4,0.015625
style_instruction,b0000-W1-alfred_sisley-style_instruction-gpt-image-1,371,measured,gpt-image-1,by_name,b0000-W1-alfred_sisley-by_name-gpt-image-1,369,measured,0,True,True,369,alfred_sisley,W1,0.015625
style_instruction,b0000-W2-alfred_sisley-style_instruction-gpt-image-1,437,measured,gpt-image-1,by_name,b0000-W2-alfred_sisley-by_name-gpt-image-1,436,measured,0,True,True,436,alfred_sisley,W2,0.015625
style_instruction,b0000-W3-alfred_sisley-style_instruction-gpt-image-1,387,measured,gpt-image-1,by_name,b0000-W3-alfred_sisley-by_name-gpt-image-1,388,measured,0,True,True,387,alfred_sisley,W3,0.015625
